arm	family	repeat	position	task	solved	seconds	requests	toolcalls	prompt	completion	hit	miss
AN	f1-paren-balance	3	1	t1	1	7	5	6	17580	505	14080	3500
AN	f1-paren-balance	3	2	t2	1	6	5	6	17320	431	13824	3496
AN	f1-paren-balance	3	3	t3	1	10	5	6	18682	970	15360	3322
AN	f1-paren-balance	3	4	t4	1	7	4	4	12786	488	9856	2930
AN	f1-paren-balance	3	5	t5	1	6	4	4	13773	532	10624	3149
B	f1-paren-balance	3	1	t1	1	6	4	4	12767	464	9856	2911
B	f1-paren-balance	3	2	t2	1	5	4	3	12487	352	9600	2887
B	f1-paren-balance	3	3	t3	1	10	5	6	18628	914	15104	3524
B	f1-paren-balance	3	4	t4	1	7	5	6	18177	509	14464	3713
B	f1-paren-balance	3	5	t5	1	10	5	6	20011	830	16000	4011
AN	f4-tlc-verdicts	1	1	t1	1	5	4	3	13178	260	10112	3066
AN	f4-tlc-verdicts	1	2	t2	1	15	6	7	27546	1296	23040	4506
AN	f4-tlc-verdicts	1	3	t3	1	6	5	4	16509	388	13440	3069
AN	f4-tlc-verdicts	1	4	t4	1	5	4	3	13429	346	10240	3189
AN	f4-tlc-verdicts	1	5	t5	1	13	7	12	31508	1507	26880	4628
B	f4-tlc-verdicts	1	1	t1	1	5	4	3	13226	256	10112	3114
B	f4-tlc-verdicts	1	2	t2	1	14	7	12	31877	1302	27008	4869
B	f4-tlc-verdicts	1	3	t3	1	8	5	5	16817	663	13568	3249
B	f4-tlc-verdicts	1	4	t4	1	6	4	4	14164	444	10624	3540
B	f4-tlc-verdicts	1	5	t5	1	16	6	12	28281	1608	23424	4857
AN	f4-tlc-verdicts	2	1	t1	1	5	4	3	13191	278	10112	3079
AN	f4-tlc-verdicts	2	2	t2	1	10	6	11	26719	939	22016	4703
AN	f4-tlc-verdicts	2	3	t3	1	7	6	5	20294	471	17152	3142
AN	f4-tlc-verdicts	2	4	t4	1	8	5	5	18451	506	14976	3475
AN	f4-tlc-verdicts	2	5	t5	1	10	5	6	22291	870	17792	4499
B	f4-tlc-verdicts	2	1	t1	1	4	3	2	9701	205	6656	3045
B	f4-tlc-verdicts	2	2	t2	1	19	9	18	42279	1586	36736	5543
B	f4-tlc-verdicts	2	3	t3	1	6	5	4	16455	427	13312	3143
B	f4-tlc-verdicts	2	4	t4	1	5	3	3	10078	332	6912	3166
B	f4-tlc-verdicts	2	5	t5	1	11	6	11	25658	1078	21376	4282
AN	f4-tlc-verdicts	3	1	t1	1	5	4	3	13178	271	10112	3066
AN	f4-tlc-verdicts	3	2	t2	1	14	7	13	31566	1228	26752	4814
AN	f4-tlc-verdicts	3	3	t3	1	4	3	2	9493	246	6656	2837
AN	f4-tlc-verdicts	3	4	t4	1	6	4	3	13351	402	10496	2855
AN	f4-tlc-verdicts	3	5	t5	1	13	6	11	27468	1023	22528	4940
B	f4-tlc-verdicts	3	1	t1	1	4	3	2	9750	238	6784	2966
B	f4-tlc-verdicts	3	2	t2	1	15	7	12	31191	1323	26496	4695
B	f4-tlc-verdicts	3	3	t3	1	7	5	5	16253	460	13312	2941
B	f4-tlc-verdicts	3	4	t4	1	7	5	5	18605	496	14976	3629
B	f4-tlc-verdicts	3	5	t5	1	17	6	11	29903	1683	24960	4943
A	f3-agent-surface	1	1	t1	1	21	8	12	37314	2078	35712	1602
A	f3-agent-surface	1	2	t2	1	10	6	7	22561	705	21248	1313
A	f3-agent-surface	1	3	t3	1	16	8	11	31863	1356	30592	1271
A	f3-agent-surface	1	4	t4	1	21	8	9	34727	1861	33024	1703
A	f3-agent-surface	1	5	t5	1	18	6	9	25737	1738	24320	1417
A	f3-agent-surface	2	1	t1	1	15	8	9	33258	1458	29312	3946
A	f3-agent-surface	2	2	t2	1	12	7	8	27278	1001	23296	3982
A	f3-agent-surface	2	3	t3	1	22	11	13	62242	1835	55552	6690
A	f3-agent-surface	2	4	t4	1	12	6	7	23348	1053	19584	3764
A	f3-agent-surface	2	5	t5	1	14	7	9	27916	1148	23808	4108
A	f3-agent-surface	3	1	t1	1	17	7	7	27823	1662	24320	3503
A	f3-agent-surface	3	2	t2	1	13	8	9	31153	943	27392	3761
A	f3-agent-surface	3	3	t3	1	14	7	9	27181	1205	23424	3757
A	f3-agent-surface	3	4	t4	1	13	8	9	33157	1158	29312	3845
A	f3-agent-surface	3	5	t5	1	20	8	11	37410	1990	33408	4002
C	f3-agent-surface	1	1	t1	1	16	8	10	28198	1410	24704	3494
C	f3-agent-surface	1	2	t2	1	12	7	8	22738	964	19584	3154
C	f3-agent-surface	1	3	t3	1	12	7	10	23082	1018	19968	3114
C	f3-agent-surface	1	4	t4	1	20	8	9	28620	1642	25088	3532
C	f3-agent-surface	1	5	t5	1	17	7	10	26446	1598	23040	3406
C	f3-agent-surface	2	1	t1	1	19	10	12	39438	1792	35968	3470
C	f3-agent-surface	2	2	t2	1	10	6	7	18649	800	15744	2905
C	f3-agent-surface	2	3	t3	1	17	7	10	23136	1417	19968	3168
C	f3-agent-surface	2	4	t4	1	14	6	7	19761	1116	16768	2993
C	f3-agent-surface	2	5	t5	1	23	8	11	32893	2342	29312	3581
C	f3-agent-surface	3	1	t1	1	16	8	9	28666	1567	25472	3194
C	f3-agent-surface	3	2	t2	1	11	7	8	22630	878	19712	2918
C	f3-agent-surface	3	3	t3	1	23	6	9	23276	2271	20224	3052
C	f3-agent-surface	3	4	t4	1	31	11	13	50411	2883	46336	4075
C	f3-agent-surface	3	5	t5	1	21	9	13	35196	1943	31616	3580
A	f1-paren-balance	1	1	t1	1	6	4	3	12855	495	9856	2999
A	f1-paren-balance	1	2	t2	1	5	4	3	12481	326	9600	2881
A	f1-paren-balance	1	3	t3	1	9	5	6	18990	764	15360	3630
A	f1-paren-balance	1	4	t4	1	6	4	4	12554	332	9600	2954
A	f1-paren-balance	1	5	t5	1	8	5	6	19212	723	15232	3980
A	f1-paren-balance	2	1	t1	1	6	4	4	12695	436	9728	2967
A	f1-paren-balance	2	2	t2	1	5	4	3	12559	388	9600	2959
A	f1-paren-balance	2	3	t3	1	8	5	6	18058	711	14592	3466
A	f1-paren-balance	2	4	t4	1	12	7	7	25464	900	21888	3576
A	f1-paren-balance	2	5	t5	1	9	5	6	19457	817	15488	3969
A	f1-paren-balance	3	1	t1	1	6	4	3	12702	406	9728	2974
A	f1-paren-balance	3	2	t2	1	6	4	3	12581	425	9600	2981
A	f1-paren-balance	3	3	t3	1	10	5	6	18554	903	14976	3578
A	f1-paren-balance	3	4	t4	1	6	4	4	12682	445	9728	2954
A	f1-paren-balance	3	5	t5	1	9	5	6	19187	658	15232	3955
C	f1-paren-balance	1	1	t1	1	9	6	7	17814	679	14848	2966
C	f1-paren-balance	1	2	t2	1	8	5	6	15200	893	12416	2784
C	f1-paren-balance	1	3	t3	1	10	5	6	15940	858	12928	3012
C	f1-paren-balance	1	4	t4	1	6	4	4	10828	537	8448	2380
C	f1-paren-balance	1	5	t5	1	10	6	7	19342	961	16000	3342
C	f1-paren-balance	2	1	t1	1	7	5	6	14228	498	11392	2836
C	f1-paren-balance	2	2	t2	1	6	4	4	10456	587	8192	2264
C	f1-paren-balance	2	3	t3	1	10	5	6	15475	1008	12416	3059
C	f1-paren-balance	2	4	t4	1	14	7	6	20242	1265	17536	2706
C	f1-paren-balance	2	5	t5	1	9	5	7	16286	833	12800	3486
C	f1-paren-balance	3	1	t1	1	10	6	7	18024	738	14976	3048
C	f1-paren-balance	3	2	t2	1	8	5	6	14382	582	11392	2990
C	f1-paren-balance	3	3	t3	1	10	5	5	16230	923	13056	3174
C	f1-paren-balance	3	4	t4	1	5	4	3	10215	434	7936	2279
C	f1-paren-balance	3	5	t5	1	10	6	7	20423	843	16896	3527
A	f4-tlc-verdicts	1	1	t1	1	6	4	3	13534	357	10240	3294
A	f4-tlc-verdicts	1	2	t2	1	14	8	14	36231	1239	31104	5127
A	f4-tlc-verdicts	1	3	t3	1	8	6	6	21723	597	18048	3675
A	f4-tlc-verdicts	1	4	t4	1	8	5	5	18620	600	14976	3644
A	f4-tlc-verdicts	1	5	t5	1	16	8	8	40462	1251	35072	5390
A	f4-tlc-verdicts	2	1	t1	1	5	4	3	13152	324	9984	3168
A	f4-tlc-verdicts	2	2	t2	1	11	6	10	25019	960	20480	4539
A	f4-tlc-verdicts	2	3	t3	1	6	4	4	13155	445	10112	3043
A	f4-tlc-verdicts	2	4	t4	1	5	4	4	12856	345	9728	3128
A	f4-tlc-verdicts	2	5	t5	1	15	6	11	26235	1413	21888	4347
A	f4-tlc-verdicts	3	1	t1	1	4	3	2	9756	254	6784	2972
A	f4-tlc-verdicts	3	2	t2	1	15	7	12	31478	1431	26752	4726
A	f4-tlc-verdicts	3	3	t3	1	5	4	4	13248	397	10240	3008
A	f4-tlc-verdicts	3	4	t4	1	8	5	5	18959	645	15232	3727
A	f4-tlc-verdicts	3	5	t5	1	16	8	13	37971	1635	33024	4947
C	f4-tlc-verdicts	1	1	t1	1	5	4	3	10512	304	7936	2576
C	f4-tlc-verdicts	1	2	t2	1	12	6	8	20095	1148	17024	3071
C	f4-tlc-verdicts	1	3	t3	1	6	5	4	13190	395	10752	2438
C	f4-tlc-verdicts	1	4	t4	1	4	3	3	7338	272	5120	2218
C	f4-tlc-verdicts	1	5	t5	1	19	7	11	27927	1928	23936	3991
C	f4-tlc-verdicts	2	1	t1	1	7	5	5	15044	502	12160	2884
C	f4-tlc-verdicts	2	2	t2	1	13	7	10	24856	1077	21120	3736
C	f4-tlc-verdicts	2	3	t3	1	4	3	2	7535	271	5248	2287
C	f4-tlc-verdicts	2	4	t4	1	4	3	2	8033	238	5504	2529
C	f4-tlc-verdicts	2	5	t5	1	11	6	12	22252	1111	18304	3948
C	f4-tlc-verdicts	3	1	t1	1	5	4	3	10570	246	8064	2506
C	f4-tlc-verdicts	3	2	t2	1	13	6	8	21101	1310	17792	3309
C	f4-tlc-verdicts	3	3	t3	1	5	4	3	10106	342	7680	2426
C	f4-tlc-verdicts	3	4	t4	1	7	5	5	15342	356	12160	3182
C	f4-tlc-verdicts	3	5	t5	1	13	6	11	21962	1199	18176	3786
